JY01	東京駅	Tokyo	丸の内南口改札外左側	35.680499,139.765818
JY02	神田駅	Kanda	南口改札外右側	35.691087,139.770945
JY03	秋葉原駅	Akihabara	中央改札外右側	35.698309,139.773726
JY04	御徒町駅	Okachimachi	北口改札外右側	35.707605,139.774812
JY05	上野駅	Ueno	中央改札外右側	35.7125,139.7764
JY06	鶯谷駅	Uguisudani	南口改札外	35.720273,139.779106
JY07	日暮里駅	Nippori	北改札外	35.728353,139.77116
JY08	西日暮里駅	Nishi-Nippori	改札外右側	35.732174,139.766901
JY09	田端駅	Tabata	北改札口外左側	35.738314,139.760698
JY10	駒込駅	Komagome	北口改札外右側	35.736496,139.746912
JY11	巣鴨駅	Sugamo	改札外南口右側	35.733315,139.739297
JY12	大塚駅	Otsuka	改札外右側	35.73157,139.72862
JY13	池袋駅	Ikebukuro	南改札外右側	35.72865,139.71119
JY14	目白駅	Mejiro	改札外左側	35.721349,139.706611
JY15	高田馬場駅	Takadanobaba	早稲田口改札外右側	35.71268,139.70385
JY16	新大久保駅	Shin-Okubo	出口改札外右側	35.701393,139.700051
JY17	新宿駅	Shinjuku	東改札外左側みどりの窓口内	35.69124,139.7005
JY18	代々木駅	Yoyogi	西口改札外	35.68306,139.702165
JY19	原宿駅	Harajuku	東口改札外左側	35.670168,139.702433
JY20	渋谷駅	Shibuya	南改札外	35.658024,139.701614
JY21	恵比寿駅	Ebisu	西口改札外左側	35.647003,139.709475
JY22	目黒駅	Meguro	中央改札口外右側	35.633911,139.71562
JY23	五反田駅	Gotanda	中央改札口外右側	35.626093,139.723578
JY24	大崎駅	Osaki	北改札口外右側	35.62008,139.728098
JY25	品川駅	Shinagawa	中央改札外みどりの窓口内	35.6287,139.73875
JY26	高輪ゲートウェイ駅	Takanawa Gateway	改札外右側	35.635203,139.740423
JY27	田町駅	Tamachi	北改札外左側	35.64593,139.747901
JY28	浜松町駅	Hamamatsucho	南改札外	35.654764,139.756962
JY29	新橋駅	Shimbashi	南改札外	35.666012,139.758245
JY30	有楽町駅	Yurakucho	銀座口改札外左側	35.674556,139.762662
